2025-11-14 15:42:46 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2025-11-16 18:59:10 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2025-11-16 19:10:54 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2025-11-16 19:21:27 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2025-11-16 19:31:58 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2025-11-16 19:33:52 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2025-11-16 19:37:03 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 09:40:14 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 09:47:55 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:01:09 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:02:12 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:05:55 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:11:24 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:17:14 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:18:37 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:44:44 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:51:52 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 10:59:09 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 11:00:54 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 11:11:10 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 11:12:38 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 11:24:35 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 11:38:38 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 11:42:20 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 11:57:04 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 12:12:53 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 12:44:03 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 14:02:02 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 14:03:03 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 14:11:10 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-08 14:57:19 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-09 10:07:19 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-22 09:32:15 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-22 11:45:44 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-01-22 13:32:10 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 10:12:49 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 10:21:22 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 11:00:25 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 11:09:30 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 11:11:18 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 11:14:04 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 11:45:43 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
2026-02-16 11:49:32 | WARNING | MultiObjectTracker | ByteTrack not available, falling back to lightweight tracker.
